gamekey,nflweek,datetime,home,away
1,1,5/9/2025 0:20,Eagles,Cowboys
2,1,6/9/2025 0:00,Chargers,Chiefs
3,1,7/9/2025 17:00,Falcons,Buccaneers
4,1,7/9/2025 17:00,Browns,Bengals
5,1,7/9/2025 17:00,Colts,Dolphins
6,1,7/9/2025 17:00,Jaguars,Panthers
7,1,7/9/2025 17:00,Patriots,Raiders
8,1,7/9/2025 17:00,Saints,Cardinals
9,1,7/9/2025 17:00,Jets,Steelers
10,1,7/9/2025 17:00,Commanders,Giants
11,1,7/9/2025 20:05,Broncos,Titans
12,1,7/9/2025 20:05,Seahawks,49ers
13,1,7/9/2025 20:25,Packers,Lions
14,1,7/9/2025 20:25,Rams,Texans
15,1,8/9/2025 0:20,Bills,Ravens
16,1,9/9/2025 0:15,Bears,Vikings
17,2,12/9/2025 0:15,Packers,Commanders
18,2,14/09/2025 17:00,Ravens,Browns
19,2,14/09/2025 17:00,Bengals,Jaguars
20,2,14/09/2025 17:00,Cowboys,Giants
21,2,14/09/2025 17:00,Lions,Bears
22,2,14/09/2025 17:00,Dolphins,Patriots
23,2,14/09/2025 17:00,Saints,49ers
24,2,14/09/2025 17:00,Jets,Bills
25,2,14/09/2025 17:00,Steelers,Seahawks
26,2,14/09/2025 17:00,Titans,Rams
27,2,14/09/2025 20:05,Cardinals,Panthers
28,2,14/09/2025 20:05,Colts,Broncos
29,2,14/09/2025 20:25,Chiefs,Eagles
30,2,15/09/2025 00:20,Vikings,Falcons
31,2,15/09/2025 23:00,Texans,Buccaneers
32,2,16/09/2025 02:00,Raiders,Chargers
33,3,19/09/2025 00:15,Bills,Dolphins
34,3,21/09/2025 17:00,Panthers,Falcons
35,3,21/09/2025 17:00,Browns,Packers
36,3,21/09/2025 17:00,Jaguars,Texans
37,3,21/09/2025 17:00,Vikings,Bengals
38,3,21/09/2025 17:00,Patriots,Steelers
39,3,21/09/2025 17:00,Eagles,Rams
40,3,21/09/2025 17:00,Buccaneers,Jets
41,3,21/09/2025 17:00,Titans,Colts
42,3,21/09/2025 17:00,Commanders,Raiders
43,3,21/09/2025 20:05,Chargers,Broncos
44,3,21/09/2025 20:05,Seahawks,Saints
45,3,21/09/2025 20:25,Bears,Cowboys
46,3,21/09/2025 20:25,49ers,Cardinals
47,3,22/09/2025 00:20,Giants,Chiefs
48,3,23/09/2025 00:15,Ravens,Lions
49,4,26/09/2025 00:15,Cardinals,Seahawks
50,4,28/09/2025 13:30,Steelers,Vikings
51,4,28/09/2025 17:00,Falcons,Commanders
52,4,28/09/2025 17:00,Bills,Saints
53,4,28/09/2025 17:00,Lions,Browns
54,4,28/09/2025 17:00,Texans,Titans
55,4,28/09/2025 17:00,Patriots,Panthers
56,4,28/09/2025 17:00,Giants,Chargers
57,4,28/09/2025 17:00,Buccaneers,Eagles
58,4,28/09/2025 20:05,Rams,Colts
59,4,28/09/2025 20:05,49ers,Jaguars
60,4,28/09/2025 20:25,Chiefs,Ravens
61,4,28/09/2025 20:25,Raiders,Bears
62,4,29/09/2025 00:20,Cowboys,Packers
63,4,29/09/2025 23:15,Dolphins,Jets
64,4,30/09/2025 00:15,Broncos,Bengals
65,5,3/10/2025 0:15,Rams,49ers
66,5,5/10/2025 13:30,Browns,Vikings
67,5,5/10/2025 17:00,Ravens,Texans
68,5,5/10/2025 17:00,Panthers,Dolphins
69,5,5/10/2025 17:00,Colts,Raiders
70,5,5/10/2025 17:00,Saints,Giants
71,5,5/10/2025 17:00,Jets,Cowboys
72,5,5/10/2025 17:00,Eagles,Broncos
73,5,5/10/2025 20:05,Cardinals,Titans
74,5,5/10/2025 20:05,Seahawks,Buccaneers
75,5,5/10/2025 20:25,Bengals,Lions
76,5,5/10/2025 20:25,Chargers,Commanders
77,5,6/10/2025 0:20,Bills,Patriots
78,5,7/10/2025 0:15,Jaguars,Chiefs
79,6,10/10/2025 0:15,Giants,Eagles
80,6,12/10/2025 13:30,Jets,Broncos
81,6,12/10/2025 17:00,Ravens,Rams
82,6,12/10/2025 17:00,Panthers,Cowboys
83,6,12/10/2025 17:00,Colts,Cardinals
84,6,12/10/2025 17:00,Jaguars,Seahawks
85,6,12/10/2025 17:00,Dolphins,Chargers
86,6,12/10/2025 17:00,Steelers,Browns
87,6,12/10/2025 17:00,Buccaneers,49ers
88,6,12/10/2025 20:05,Raiders,Titans
89,6,12/10/2025 20:25,Packers,Bengals
90,6,12/10/2025 20:25,Saints,Patriots
91,6,13/10/2025 00:20,Chiefs,Lions
92,6,13/10/2025 23:15,Falcons,Bills
93,6,14/10/2025 00:15,Commanders,Bears
94,7,17/10/2025 00:15,Bengals,Steelers
95,7,19/10/2025 13:30,Jaguars,Rams
96,7,19/10/2025 17:00,Bears,Saints
97,7,19/10/2025 17:00,Browns,Dolphins
98,7,19/10/2025 17:00,Chiefs,Raiders
99,7,19/10/2025 17:00,Vikings,Eagles
100,7,19/10/2025 17:00,Jets,Panthers
101,7,19/10/2025 17:00,Titans,Patriots
102,7,19/10/2025 20:05,Broncos,Giants
103,7,19/10/2025 20:05,Chargers,Colts
104,7,19/10/2025 20:25,Cardinals,Packers
105,7,19/10/2025 20:25,Cowboys,Commanders
106,7,20/10/2025 00:20,49ers,Falcons
107,7,20/10/2025 23:00,Lions,Buccaneers
108,7,21/10/2025 02:00,Seahawks,Texans
109,8,24/10/2025 00:15,Chargers,Vikings
110,8,26/10/2025 17:00,Falcons,Dolphins
