nflweek,rotat,date,kickoff,side,opp,awayhome,,,,,
1,Eagles1,9/4/2025,8:20 PM,Eagles,Cowboys,home,,,,,
1,Chargers1,9/5/2025,8:00 PM,Chargers,Chiefs,home,,,,,
1,Falcons1,9/7/2025,1:00 PM,Falcons,Buccaneers,home,,,,,
1,Browns1,9/7/2025,1:00 PM,Browns,Bengals,home,,,,,
1,Colts1,9/7/2025,1:00 PM,Colts,Dolphins,home,,,,,
1,Jaguars1,9/7/2025,1:00 PM,Jaguars,Panthers,home,,,,,
1,Patriots1,9/7/2025,1:00 PM,Patriots,Raiders,home,,,,,
1,Saints1,9/7/2025,1:00 PM,Saints,Cardinals,home,,,,,
1,Jets1,9/7/2025,1:00 PM,Jets,Steelers,home,,,,,
1,Commanders1,9/7/2025,1:00 PM,Commanders,Giants,home,,,,,
1,Broncos1,9/7/2025,4:05 PM,Broncos,Titans,home,,,,,
1,Seahawks1,9/7/2025,4:05 PM,Seahawks,49ers,home,,,,,
1,Packers1,9/7/2025,4:25 PM,Packers,Lions,home,,,,,
1,Rams1,9/7/2025,4:25 PM,Rams,Texans,home,,,,,
1,Bills1,9/7/2025,8:20 PM,Bills,Ravens,home,,,,,
1,Bears1,9/8/2025,8:15 PM,Bears,Vikings,home,,,,,
2,Packers2,9/11/2025,8:15 PM,Packers,Commanders,home,,,,,
2,Ravens2,9/14/2025,1:00 PM,Ravens,Browns,home,,,,,
2,Bengals2,9/14/2025,1:00 PM,Bengals,Jaguars,home,,,,,
2,Cowboys2,9/14/2025,1:00 PM,Cowboys,Giants,home,,,,,
2,Lions2,9/14/2025,1:00 PM,Lions,Bears,home,,,,,
2,Dolphins2,9/14/2025,1:00 PM,Dolphins,Patriots,home,,,,,
2,Saints2,9/14/2025,1:00 PM,Saints,49ers,home,,,,,
2,Jets2,9/14/2025,1:00 PM,Jets,Bills,home,,,,,
2,Steelers2,9/14/2025,1:00 PM,Steelers,Seahawks,home,,,,,
2,Titans2,9/14/2025,1:00 PM,Titans,Rams,home,,,,,
2,Cardinals2,9/14/2025,4:05 PM,Cardinals,Panthers,home,,,,,
2,Colts2,9/14/2025,4:05 PM,Colts,Broncos,home,,,,,
2,Chiefs2,9/14/2025,4:25 PM,Chiefs,Eagles,home,,,,,
2,Vikings2,9/14/2025,8:20 PM,Vikings,Falcons,home,,,,,
2,Texans2,9/15/2025,7:00 PM,Texans,Buccaneers,home,,,,,
2,Raiders2,9/15/2025,10:00 PM,Raiders,Chargers,home,,,,,
3,Bills3,9/18/2025,8:15 PM,Bills,Dolphins,home,,,,,
3,Panthers3,9/21/2025,1:00 PM,Panthers,Falcons,home,,,,,
3,Browns3,9/21/2025,1:00 PM,Browns,Packers,home,,,,,
3,Jaguars3,9/21/2025,1:00 PM,Jaguars,Texans,home,,,,,
3,Vikings3,9/21/2025,1:00 PM,Vikings,Bengals,home,,,,,
3,Patriots3,9/21/2025,1:00 PM,Patriots,Steelers,home,,,,,
3,Eagles3,9/21/2025,1:00 PM,Eagles,Rams,home,,,,,
3,Buccaneers3,9/21/2025,1:00 PM,Buccaneers,Jets,home,,,,,
3,Titans3,9/21/2025,1:00 PM,Titans,Colts,home,,,,,
3,Commanders3,9/21/2025,1:00 PM,Commanders,Raiders,home,,,,,
3,Chargers3,9/21/2025,4:05 PM,Chargers,Broncos,home,,,,,
3,Seahawks3,9/21/2025,4:05 PM,Seahawks,Saints,home,,,,,
3,Bears3,9/21/2025,4:25 PM,Bears,Cowboys,home,,,,,
3,49ers3,9/21/2025,4:25 PM,49ers,Cardinals,home,,,,,
3,Giants3,9/21/2025,8:20 PM,Giants,Chiefs,home,,,,,
3,Ravens3,9/22/2025,8:15 PM,Ravens,Lions,home,,,,,
4,Cardinals4,9/25/2025,8:15 PM,Cardinals,Seahawks,home,,,,,
4,Steelers4,9/28/2025,9:30 AM,Steelers,Vikings,home,,,,,
4,Falcons4,9/28/2025,1:00 PM,Falcons,Commanders,home,,,,,
4,Bills4,9/28/2025,1:00 PM,Bills,Saints,home,,,,,
4,Lions4,9/28/2025,1:00 PM,Lions,Browns,home,,,,,
4,Texans4,9/28/2025,1:00 PM,Texans,Titans,home,,,,,
4,Patriots4,9/28/2025,1:00 PM,Patriots,Panthers,home,,,,,
4,Giants4,9/28/2025,1:00 PM,Giants,Chargers,home,,,,,
4,Buccaneers4,9/28/2025,1:00 PM,Buccaneers,Eagles,home,,,,,
4,Rams4,9/28/2025,4:05 PM,Rams,Colts,home,,,,,
4,49ers4,9/28/2025,4:05 PM,49ers,Jaguars,home,,,,,
4,Chiefs4,9/28/2025,4:25 PM,Chiefs,Ravens,home,,,,,
4,Raiders4,9/28/2025,4:25 PM,Raiders,Bears,home,,,,,
4,Cowboys4,9/28/2025,8:20 PM,Cowboys,Packers,home,,,,,
4,Dolphins4,9/29/2025,7:15 PM,Dolphins,Jets,home,,,,,
4,Broncos4,9/29/2025,8:15 PM,Broncos,Bengals,home,,,,,
5,Rams5,10/2/2025,8:15 PM,Rams,49ers,home,,,,,
5,Browns5,10/5/2025,9:30 AM,Browns,Vikings,home,,,,,
5,Ravens5,10/5/2025,1:00 PM,Ravens,Texans,home,,,,,
5,Panthers5,10/5/2025,1:00 PM,Panthers,Dolphins,home,,,,,
5,Colts5,10/5/2025,1:00 PM,Colts,Raiders,home,,,,,
5,Saints5,10/5/2025,1:00 PM,Saints,Giants,home,,,,,
5,Jets5,10/5/2025,1:00 PM,Jets,Cowboys,home,,,,,
5,Eagles5,10/5/2025,1:00 PM,Eagles,Broncos,home,,,,,
5,Cardinals5,10/5/2025,4:05 PM,Cardinals,Titans,home,,,,,
5,Seahawks5,10/5/2025,4:05 PM,Seahawks,Buccaneers,home,,,,,
5,Bengals5,10/5/2025,4:25 PM,Bengals,Lions,home,,,,,
5,Chargers5,10/5/2025,4:25 PM,Chargers,Commanders,home,,,,,
5,Bills5,10/5/2025,8:20 PM,Bills,Patriots,home,,,,,
5,Jaguars5,10/6/2025,8:15 PM,Jaguars,Chiefs,home,,,,,
6,Giants6,10/9/2025,8:15 PM,Giants,Eagles,home,,,,,
6,Jets6,10/12/2025,9:30 AM,Jets,Broncos,home,,,,,
6,Ravens6,10/12/2025,1:00 PM,Ravens,Rams,home,,,,,
6,Panthers6,10/12/2025,1:00 PM,Panthers,Cowboys,home,,,,,
6,Colts6,10/12/2025,1:00 PM,Colts,Cardinals,home,,,,,
6,Jaguars6,10/12/2025,1:00 PM,Jaguars,Seahawks,home,,,,,
6,Dolphins6,10/12/2025,1:00 PM,Dolphins,Chargers,home,,,,,
6,Steelers6,10/12/2025,1:00 PM,Steelers,Browns,home,,,,,
6,Buccaneers6,10/12/2025,1:00 PM,Buccaneers,49ers,home,,,,,
6,Raiders6,10/12/2025,4:05 PM,Raiders,Titans,home,,,,,
6,Packers6,10/12/2025,4:25 PM,Packers,Bengals,home,,,,,
6,Saints6,10/12/2025,4:25 PM,Saints,Patriots,home,,,,,
6,Chiefs6,10/12/2025,8:20 PM,Chiefs,Lions,home,,,,,
6,Falcons6,10/13/2025,7:15 PM,Falcons,Bills,home,,,,,
6,Commanders6,10/13/2025,8:15 PM,Commanders,Bears,home,,,,,
7,Bengals7,10/16/2025,8:15 PM,Bengals,Steelers,home,,,,,
7,Jaguars7,10/19/2025,9:30 AM,Jaguars,Rams,home,,,,,
7,Bears7,10/19/2025,1:00 PM,Bears,Saints,home,,,,,
7,Browns7,10/19/2025,1:00 PM,Browns,Dolphins,home,,,,,
7,Chiefs7,10/19/2025,1:00 PM,Chiefs,Raiders,home,,,,,
7,Vikings7,10/19/2025,1:00 PM,Vikings,Eagles,home,,,,,
7,Jets7,10/19/2025,1:00 PM,Jets,Panthers,home,,,,,
7,Titans7,10/19/2025,1:00 PM,Titans,Patriots,home,,,,,
7,Broncos7,10/19/2025,4:05 PM,Broncos,Giants,home,,,,,
7,Chargers7,10/19/2025,4:05 PM,Chargers,Colts,home,,,,,
7,Cardinals7,10/19/2025,4:25 PM,Cardinals,Packers,home,,,,,
7,Cowboys7,10/19/2025,4:25 PM,Cowboys,Commanders,home,,,,,
7,49ers7,10/19/2025,8:20 PM,49ers,Falcons,home,,,,,
7,Lions7,10/20/2025,7:00 PM,Lions,Buccaneers,home,,,,,
7,Seahawks7,10/20/2025,10:00 PM,Seahawks,Texans,home,,,,,
8,Chargers8,10/23/2025,8:15 PM,Chargers,Vikings,home,,,,,
8,Falcons8,10/26/2025,1:00 PM,Falcons,Dolphins,home,,,,,
8,Ravens8,10/26/2025,1:00 PM,Ravens,Bears,home,,,,,
8,Panthers8,10/26/2025,1:00 PM,Panthers,Bills,home,,,,,
8,Bengals8,10/26/2025,1:00 PM,Bengals,Jets,home,,,,,
8,Texans8,10/26/2025,1:00 PM,Texans,49ers,home,,,,,
8,Patriots8,10/26/2025,1:00 PM,Patriots,Browns,home,,,,,
8,Eagles8,10/26/2025,1:00 PM,Eagles,Giants,home,,,,,
8,Saints8,10/26/2025,4:05 PM,Saints,Buccaneers,home,,,,,
8,Broncos8,10/26/2025,4:25 PM,Broncos,Cowboys,home,,,,,
8,Colts8,10/26/2025,4:25 PM,Colts,Titans,home,,,,,
8,Steelers8,10/26/2025,8:20 PM,Steelers,Packers,home,,,,,
8,Chiefs8,10/27/2025,8:15 PM,Chiefs,Commanders,home,,,,,
9,Dolphins9,10/30/2025,8:15 PM,Dolphins,Ravens,home,,,,,
9,Bengals9,11/2/2025,1:00 PM,Bengals,Bears,home,,,,,
9,Lions9,11/2/2025,1:00 PM,Lions,Vikings,home,,,,,
9,Packers9,11/2/2025,1:00 PM,Packers,Panthers,home,,,,,
9,Texans9,11/2/2025,1:00 PM,Texans,Broncos,home,,,,,
9,Patriots9,11/2/2025,1:00 PM,Patriots,Falcons,home,,,,,
9,Giants9,11/2/2025,1:00 PM,Giants,49ers,home,,,,,
9,Steelers9,11/2/2025,1:00 PM,Steelers,Colts,home,,,,,
9,Titans9,11/2/2025,1:00 PM,Titans,Chargers,home,,,,,
9,Rams9,11/2/2025,4:05 PM,Rams,Saints,home,,,,,
9,Raiders9,11/2/2025,4:05 PM,Raiders,Jaguars,home,,,,,
9,Bills9,11/2/2025,4:25 PM,Bills,Chiefs,home,,,,,
9,Commanders9,11/2/2025,8:20 PM,Commanders,Seahawks,home,,,,,
9,Cowboys9,11/3/2025,8:15 PM,Cowboys,Cardinals,home,,,,,
10,Broncos10,11/6/2025,8:15 PM,Broncos,Raiders,home,,,,,
10,Colts10,11/9/2025,9:30 AM,Colts,Falcons,home,,,,,
10,Panthers10,11/9/2025,1:00 PM,Panthers,Saints,home,,,,,
10,Bears10,11/9/2025,1:00 PM,Bears,Giants,home,,,,,
10,Texans10,11/9/2025,1:00 PM,Texans,Jaguars,home,,,,,
10,Dolphins10,11/9/2025,1:00 PM,Dolphins,Bills,home,,,,,
10,Vikings10,11/9/2025,1:00 PM,Vikings,Ravens,home,,,,,
10,Jets10,11/9/2025,1:00 PM,Jets,Browns,home,,,,,
10,Buccaneers10,11/9/2025,1:00 PM,Buccaneers,Patriots,home,,,,,
10,Seahawks10,11/9/2025,4:05 PM,Seahawks,Cardinals,home,,,,,
10,49ers10,11/9/2025,4:25 PM,49ers,Rams,home,,,,,
10,Commanders10,11/9/2025,4:25 PM,Commanders,Lions,home,,,,,
10,Chargers10,11/9/2025,8:20 PM,Chargers,Steelers,home,,,,,
10,Packers10,11/10/2025,8:15 PM,Packers,Eagles,home,,,,,
11,Patriots11,11/13/2025,8:15 PM,Patriots,Jets,home,,,,,
11,Dolphins11,11/16/2025,9:30 AM,Dolphins,Commanders,home,,,,,
11,Falcons11,11/16/2025,1:00 PM,Falcons,Panthers,home,,,,,
11,Bills11,11/16/2025,1:00 PM,Bills,Buccaneers,home,,,,,
11,Jaguars11,11/16/2025,1:00 PM,Jaguars,Chargers,home,,,,,
11,Vikings11,11/16/2025,1:00 PM,Vikings,Bears,home,,,,,
11,Giants11,11/16/2025,1:00 PM,Giants,Packers,home,,,,,
11,Steelers11,11/16/2025,1:00 PM,Steelers,Bengals,home,,,,,
11,Titans11,11/16/2025,1:00 PM,Titans,Texans,home,,,,,
