gamekey,nflweek,datetime,home,away
16,1,9/5/2024 20:20,Chiefs,Ravens
15,1,9/6/2024 20:15,Eagles,Packers
7,1,9/8/2024 13:00,Falcons,Steelers
8,1,9/8/2024 13:00,Bills,Cardinals
9,1,9/8/2024 13:00,Bears,Titans
10,1,9/8/2024 13:00,Bengals,Patriots
11,1,9/8/2024 13:00,Colts,Texans
12,1,9/8/2024 13:00,Dolphins,Jaguars
13,1,9/8/2024 13:00,Saints,Panthers
14,1,9/8/2024 13:00,Giants,Vikings
5,1,9/8/2024 16:05,Chargers,Raiders
6,1,9/8/2024 16:05,Seahawks,Broncos
3,1,9/8/2024 16:25,Browns,Cowboys
4,1,9/8/2024 16:25,Buccaneers,Commanders
2,1,9/8/2024 20:20,Lions,Rams
1,1,9/9/2024 20:15,49ers,Jets
32,2,9/12/2024 20:15,Dolphins,Bills
22,2,9/15/2024 13:00,Ravens,Raiders
23,2,9/15/2024 13:00,Panthers,Chargers
24,2,9/15/2024 13:00,Cowboys,Saints
25,2,9/15/2024 13:00,Lions,Buccaneers
26,2,9/15/2024 13:00,Packers,Colts
27,2,9/15/2024 13:00,Jaguars,Browns
28,2,9/15/2024 13:00,Vikings,49ers
29,2,9/15/2024 13:00,Patriots,Seahawks
30,2,9/15/2024 13:00,Titans,Jets
31,2,9/15/2024 13:00,Commanders,Giants
21,2,9/15/2024 16:05,Cardinals,Rams
19,2,9/15/2024 16:25,Broncos,Steelers
20,2,9/15/2024 16:25,Chiefs,Bengals
18,2,9/15/2024 20:20,Texans,Bears
17,2,9/16/2024 20:15,Eagles,Falcons
48,3,9/19/2024 20:15,Jets,Patriots
41,3,9/22/2024 13:00,Browns,Giants
42,3,9/22/2024 13:00,Colts,Bears
43,3,9/22/2024 13:00,Vikings,Texans
44,3,9/22/2024 13:00,Saints,Eagles
45,3,9/22/2024 13:00,Steelers,Chargers
46,3,9/22/2024 13:00,Buccaneers,Broncos
47,3,9/22/2024 13:00,Titans,Packers
39,3,9/22/2024 16:05,Raiders,Panthers
40,3,9/22/2024 16:05,Seahawks,Dolphins
36,3,9/22/2024 16:25,Cardinals,Lions
37,3,9/22/2024 16:25,Cowboys,Ravens
38,3,9/22/2024 16:25,Rams,49ers
