nflweek,rotat,date,kickoff,side,opp,awayhome
1,Chiefs1,9/5/2024,20:20:00,Chiefs,Ravens,home
1,Ravens1,9/5/2024,20:20:00,Ravens,Chiefs,away
1,Eagles1,9/6/2024,20:15:00,Eagles,Packers,home
1,Packers1,9/6/2024,20:15:00,Packers,Eagles,away
1,Falcons1,9/8/2024,13:00:00,Falcons,Steelers,home
1,Bills1,9/8/2024,13:00:00,Bills,Cardinals,home
1,Bears1,9/8/2024,13:00:00,Bears,Titans,home
1,Bengals1,9/8/2024,13:00:00,Bengals,Patriots,home
1,Colts1,9/8/2024,13:00:00,Colts,Texans,home
1,Dolphins1,9/8/2024,13:00:00,Dolphins,Jaguars,home
1,Saints1,9/8/2024,13:00:00,Saints,Panthers,home
1,Giants1,9/8/2024,13:00:00,Giants,Vikings,home
1,Steelers1,9/8/2024,13:00:00,Steelers,Falcons,away
1,Cardinals1,9/8/2024,13:00:00,Cardinals,Bills,away
1,Titans1,9/8/2024,13:00:00,Titans,Bears,away
1,Patriots1,9/8/2024,13:00:00,Patriots,Bengals,away
1,Texans1,9/8/2024,13:00:00,Texans,Colts,away
1,Jaguars1,9/8/2024,13:00:00,Jaguars,Dolphins,away
1,Panthers1,9/8/2024,13:00:00,Panthers,Saints,away
1,Vikings1,9/8/2024,13:00:00,Vikings,Giants,away
1,Chargers1,9/8/2024,16:05:00,Chargers,Raiders,home
1,Seahawks1,9/8/2024,16:05:00,Seahawks,Broncos,home
1,Raiders1,9/8/2024,16:05:00,Raiders,Chargers,away
1,Broncos1,9/8/2024,16:05:00,Broncos,Seahawks,away
1,Browns1,9/8/2024,16:25:00,Browns,Cowboys,home
1,Buccaneers1,9/8/2024,16:25:00,Buccaneers,Commanders,home
1,Cowboys1,9/8/2024,16:25:00,Cowboys,Browns,away
1,Commanders1,9/8/2024,16:25:00,Commanders,Buccaneers,away
1,Lions1,9/8/2024,20:20:00,Lions,Rams,home
1,Rams1,9/8/2024,20:20:00,Rams,Lions,away
1,49ers1,9/9/2024,20:15:00,49ers,Jets,home
1,Jets1,9/9/2024,20:15:00,Jets,49ers,away
2,Dolphins2,9/12/2024,20:15:00,Dolphins,Bills,home
2,Bills2,9/12/2024,20:15:00,Bills,Dolphins,away
2,Ravens2,9/15/2024,13:00:00,Ravens,Raiders,home
2,Panthers2,9/15/2024,13:00:00,Panthers,Chargers,home
2,Cowboys2,9/15/2024,13:00:00,Cowboys,Saints,home
2,Lions2,9/15/2024,13:00:00,Lions,Buccaneers,home
2,Packers2,9/15/2024,13:00:00,Packers,Colts,home
2,Jaguars2,9/15/2024,13:00:00,Jaguars,Browns,home
2,Vikings2,9/15/2024,13:00:00,Vikings,49ers,home
2,Patriots2,9/15/2024,13:00:00,Patriots,Seahawks,home
2,Titans2,9/15/2024,13:00:00,Titans,Jets,home
2,Commanders2,9/15/2024,13:00:00,Commanders,Giants,home
2,Raiders2,9/15/2024,13:00:00,Raiders,Ravens,away
2,Chargers2,9/15/2024,13:00:00,Chargers,Panthers,away
2,Saints2,9/15/2024,13:00:00,Saints,Cowboys,away
2,Buccaneers2,9/15/2024,13:00:00,Buccaneers,Lions,away
2,Colts2,9/15/2024,13:00:00,Colts,Packers,away
2,Browns2,9/15/2024,13:00:00,Browns,Jaguars,away
2,49ers2,9/15/2024,13:00:00,49ers,Vikings,away
2,Seahawks2,9/15/2024,13:00:00,Seahawks,Patriots,away
2,Jets2,9/15/2024,13:00:00,Jets,Titans,away
2,Giants2,9/15/2024,13:00:00,Giants,Commanders,away
2,Cardinals2,9/15/2024,16:05:00,Cardinals,Rams,home
2,Rams2,9/15/2024,16:05:00,Rams,Cardinals,away
2,Broncos2,9/15/2024,16:25:00,Broncos,Steelers,home
2,Chiefs2,9/15/2024,16:25:00,Chiefs,Bengals,home
2,Steelers2,9/15/2024,16:25:00,Steelers,Broncos,away
2,Bengals2,9/15/2024,16:25:00,Bengals,Chiefs,away
2,Texans2,9/15/2024,20:20:00,Texans,Bears,home
2,Bears2,9/15/2024,20:20:00,Bears,Texans,away
2,Eagles2,9/16/2024,20:15:00,Eagles,Falcons,home
2,Falcons2,9/16/2024,20:15:00,Falcons,Eagles,away
3,Jets3,9/19/2024,20:15:00,Jets,Patriots,home
3,Patriots3,9/19/2024,20:15:00,Patriots,Jets,away
3,Browns3,9/22/2024,13:00:00,Browns,Giants,home
3,Colts3,9/22/2024,13:00:00,Colts,Bears,home
3,Vikings3,9/22/2024,13:00:00,Vikings,Texans,home
3,Saints3,9/22/2024,13:00:00,Saints,Eagles,home
3,Steelers3,9/22/2024,13:00:00,Steelers,Chargers,home
3,Buccaneers3,9/22/2024,13:00:00,Buccaneers,Broncos,home
3,Titans3,9/22/2024,13:00:00,Titans,Packers,home
3,Giants3,9/22/2024,13:00:00,Giants,Browns,away
3,Bears3,9/22/2024,13:00:00,Bears,Colts,away
3,Texans3,9/22/2024,13:00:00,Texans,Vikings,away
3,Eagles3,9/22/2024,13:00:00,Eagles,Saints,away
3,Chargers3,9/22/2024,13:00:00,Chargers,Steelers,away
3,Broncos3,9/22/2024,13:00:00,Broncos,Buccaneers,away
3,Packers3,9/22/2024,13:00:00,Packers,Titans,away
3,Raiders3,9/22/2024,16:05:00,Raiders,Panthers,home
3,Seahawks3,9/22/2024,16:05:00,Seahawks,Dolphins,home
3,Panthers3,9/22/2024,16:05:00,Panthers,Raiders,away
3,Dolphins3,9/22/2024,16:05:00,Dolphins,Seahawks,away
3,Cardinals3,9/22/2024,16:25:00,Cardinals,Lions,home
3,Cowboys3,9/22/2024,16:25:00,Cowboys,Ravens,home
3,Rams3,9/22/2024,16:25:00,Rams,49ers,home
3,Lions3,9/22/2024,16:25:00,Lions,Cardinals,away
3,Ravens3,9/22/2024,16:25:00,Ravens,Cowboys,away
3,49ers3,9/22/2024,16:25:00,49ers,Rams,away
3,Falcons3,9/22/2024,20:20:00,Falcons,Chiefs,home
3,Chiefs3,9/22/2024,20:20:00,Chiefs,Falcons,away
3,Bills3,9/23/2024,19:30:00,Bills,Jaguars,home
3,Jaguars3,9/23/2024,19:30:00,Jaguars,Bills,away
3,Bengals3,9/23/2024,20:15:00,Bengals,Commanders,home
3,Commanders3,9/23/2024,20:15:00,Commanders,Bengals,away
4,Giants4,9/26/2024,20:15:00,Giants,Cowboys,home
4,Cowboys4,9/26/2024,20:15:00,Cowboys,Giants,away
4,Falcons4,9/29/2024,13:00:00,Falcons,Saints,home
4,Panthers4,9/29/2024,13:00:00,Panthers,Bengals,home
4,Bears4,9/29/2024,13:00:00,Bears,Rams,home
4,Packers4,9/29/2024,13:00:00,Packers,Vikings,home
4,Texans4,9/29/2024,13:00:00,Texans,Jaguars,home
4,Colts4,9/29/2024,13:00:00,Colts,Steelers,home
4,Jets4,9/29/2024,13:00:00,Jets,Broncos,home
4,Buccaneers4,9/29/2024,13:00:00,Buccaneers,Eagles,home
4,Saints4,9/29/2024,13:00:00,Saints,Falcons,away
4,Bengals4,9/29/2024,13:00:00,Bengals,Panthers,away
4,Rams4,9/29/2024,13:00:00,Rams,Bears,away
4,Vikings4,9/29/2024,13:00:00,Vikings,Packers,away
4,Jaguars4,9/29/2024,13:00:00,Jaguars,Texans,away
4,Steelers4,9/29/2024,13:00:00,Steelers,Colts,away
4,Broncos4,9/29/2024,13:00:00,Broncos,Jets,away
4,Eagles4,9/29/2024,13:00:00,Eagles,Buccaneers,away
4,Cardinals4,9/29/2024,16:05:00,Cardinals,Commanders,home
4,49ers4,9/29/2024,16:05:00,49ers,Patriots,home
4,Commanders4,9/29/2024,16:05:00,Commanders,Cardinals,away
4,Patriots4,9/29/2024,16:05:00,Patriots,49ers,away
4,Chargers4,9/29/2024,16:25:00,Chargers,Chiefs,home
4,Raiders4,9/29/2024,16:25:00,Raiders,Browns,home
4,Chiefs4,9/29/2024,16:25:00,Chiefs,Chargers,away
4,Browns4,9/29/2024,16:25:00,Browns,Raiders,away
4,Ravens4,9/29/2024,20:20:00,Ravens,Bills,home
4,Bills4,9/29/2024,20:20:00,Bills,Ravens,away
4,Dolphins4,9/30/2024,19:30:00,Dolphins,Titans,home
4,Titans4,9/30/2024,19:30:00,Titans,Dolphins,away
4,Lions4,9/30/2024,20:15:00,Lions,Seahawks,home
4,Seahawks4,9/30/2024,20:15:00,Seahawks,Lions,away
5,Falcons5,10/3/2024,20:15:00,Falcons,Buccaneers,home
5,Buccaneers5,10/3/2024,20:15:00,Buccaneers,Falcons,away
5,Vikings5,10/6/2024,9:30:00,Vikings,Jets,home
5,Jets5,10/6/2024,9:30:00,Jets,Vikings,away
5,Bears5,10/6/2024,13:00:00,Bears,Panthers,home
5,Bengals5,10/6/2024,13:00:00,Bengals,Ravens,home
5,Texans5,10/6/2024,13:00:00,Texans,Bills,home
5,Jaguars5,10/6/2024,13:00:00,Jaguars,Colts,home
5,Patriots5,10/6/2024,13:00:00,Patriots,Dolphins,home
5,Commanders5,10/6/2024,13:00:00,Commanders,Browns,home
5,Panthers5,10/6/2024,13:00:00,Panthers,Bears,away
5,Ravens5,10/6/2024,13:00:00,Ravens,Bengals,away
5,Bills5,10/6/2024,13:00:00,Bills,Texans,away
5,Colts5,10/6/2024,13:00:00,Colts,Jaguars,away
5,Dolphins5,10/6/2024,13:00:00,Dolphins,Patriots,away
